student_id,gender,parental_education,lunch,test_prep_course,weekly_study_hours,attendance_percent,math_score,reading_score,writing_score,average_score
262,female,some college,standard,none,7.6,80.3,81.3,75.9,64.7,74.0
263,female,high school,standard,completed,2.5,86.9,60.5,97.7,80.4,79.5
264,female,some high school,standard,none,15.7,96.8,81.9,64.6,74.9,73.8
265,female,high school,standard,none,12.4,76.1,57.5,71.3,86.0,71.6
266,male,associate's degree,free/reduced,none,5.3,91.0,59.7,58.0,76.2,64.6
267,male,high school,free/reduced,none,9.8,81.5,65.1,67.6,72.0,68.2
268,male,some college,standard,completed,13.8,100.0,71.6,86.6,100.0,86.1
269,male,associate's degree,free/reduced,none,12.0,88.9,60.2,100.0,84.7,81.6
270,female,some college,free/reduced,completed,11.5,83.2,81.8,85.9,89.2,85.6
271,male,bachelor's degree,standard,completed,6.6,81.2,81.8,96.9,77.7,85.5
272,male,bachelor's degree,free/reduced,none,7.5,95.1,71.4,86.2,63.3,73.6
273,male,high school,free/reduced,none,10.4,91.4,64.9,69.1,70.3,68.1
274,female,associate's degree,standard,completed,13.7,73.7,100.0,90.7,85.1,91.9
275,male,high school,standard,none,6.7,86.7,69.3,85.8,65.9,73.7
276,female,some high school,free/reduced,completed,5.5,71.1,62.8,75.4,72.9,70.4
277,female,some college,free/reduced,none,14.6,77.0,88.4,78.0,63.0,76.5
278,female,associate's degree,standard,none,6.3,71.6,75.2,78.8,85.7,79.9
279,female,master's degree,standard,completed,14.3,71.2,86.5,77.6,82.0,82.0
280,female,some high school,free/reduced,none,11.0,77.7,78.3,65.1,65.5,69.6
281,female,associate's degree,free/reduced,completed,13.5,74.7,83.9,86.5,89.0,86.5
282,female,some college,standard,completed,17.0,89.8,96.7,95.4,79.0,90.4
283,female,some high school,standard,none,12.8,92.5,78.8,71.8,84.7,78.4
284,female,master's degree,standard,none,13.1,82.2,73.5,81.5,90.4,81.8
285,female,associate's degree,free/reduced,completed,6.3,73.3,82.3,78.3,78.1,79.6
286,male,some high school,standard,completed,7.2,92.6,80.1,78.8,71.4,76.8
287,female,bachelor's degree,standard,none,12.6,64.2,69.2,83.9,74.4,75.8
288,female,some high school,standard,completed,16.1,65.2,78.4,83.2,68.9,76.8
289,male,some high school,standard,none,15.6,91.9,87.5,79.0,85.6,84.0
290,male,high school,free/reduced,none,19.3,91.1,78.1,66.7,75.7,73.5
291,female,master's degree,standard,none,11.2,94.3,81.9,77.2,79.2,79.4
292,female,some high school,standard,none,10.8,82.4,78.5,78.3,67.8,74.9
293,male,bachelor's degree,free/reduced,none,14.0,71.9,77.0,62.1,77.4,72.2
294,male,associate's degree,standard,completed,10.1,79.4,71.4,85.2,94.3,83.6
295,male,some high school,standard,none,9.8,90.2,78.4,68.6,62.0,69.7
296,male,some college,free/reduced,none,5.8,76.9,72.8,61.6,62.2,65.5
297,male,some college,standard,none,14.0,77.5,85.3,81.5,61.1,76.0
298,female,some college,free/reduced,none,5.7,70.5,77.2,64.3,74.4,72.0
299,female,associate's degree,free/reduced,none,12.0,72.9,75.7,68.5,75.9,73.4
300,female,associate's degree,standard,completed,4.3,93.0,85.5,80.2,100.0,88.6
301,female,master's degree,standard,completed,14.4,89.1,100.0,94.0,93.3,95.8
302,male,high school,standard,completed,5.9,72.9,73.3,98.0,73.0,81.4
303,female,bachelor's degree,free/reduced,completed,13.4,73.7,97.5,68.1,80.5,82.0
304,female,some college,standard,none,3.6,78.9,81.1,73.3,79.4,77.9
305,female,associate's degree,standard,none,8.2,90.1,81.4,78.1,66.9,75.5
306,female,bachelor's degree,standard,none,14.7,72.8,95.6,89.1,86.5,90.4
307,male,master's degree,standard,completed,6.8,82.9,89.7,81.6,86.7,86.0
308,female,high school,standard,none,10.3,63.0,63.9,52.9,68.1,61.6
309,male,some college,free/reduced,none,8.1,71.9,76.2,78.9,60.0,71.7
310,female,master's degree,free/reduced,none,0.8,88.8,67.8,66.2,82.7,72.2
311,female,master's degree,standard,none,11.2,93.6,84.7,84.9,98.7,89.4
312,female,some college,free/reduced,none,11.7,72.9,72.5,62.9,69.7,68.4
313,male,master's degree,standard,none,5.6,76.8,83.5,66.6,78.1,76.1
314,male,some college,standard,none,12.3,92.6,83.2,74.6,89.7,82.5
315,female,some college,standard,none,6.8,80.6,65.4,82.5,70.4,72.8
316,male,associate's degree,free/reduced,none,6.0,79.1,70.9,76.7,66.7,71.4
317,female,some college,standard,none,10.0,89.8,81.7,74.8,69.4,75.3
318,male,some college,standard,completed,7.3,86.5,74.6,85.4,80.2,80.1
319,male,some college,free/reduced,none,19.2,95.7,79.4,77.2,77.1,77.9
320,male,some college,standard,completed,3.8,92.5,74.4,81.5,77.4,77.8
321,male,some high school,free/reduced,none,13.0,78.8,66.2,71.1,62.3,66.5
322,male,some high school,standard,completed,14.0,83.4,87.6,86.8,69.3,81.2
323,male,associate's degree,free/reduced,none,2.1,84.0,71.6,63.8,57.2,64.2
324,female,some college,free/reduced,completed,3.1,70.9,84.6,74.2,69.3,76.0
325,female,associate's degree,free/reduced,completed,12.2,74.8,90.9,84.7,88.9,88.2
326,female,bachelor's degree,free/reduced,none,8.1,94.3,81.0,79.7,74.4,78.4
327,female,high school,free/reduced,none,11.5,68.6,78.3,64.9,64.1,69.1
328,male,high school,free/reduced,none,14.6,94.6,87.1,89.4,78.4,85.0
329,female,high school,standard,none,8.5,87.4,69.7,73.1,80.1,74.3
330,female,high school,standard,none,5.7,83.2,74.5,80.2,67.8,74.2
331,female,associate's degree,standard,none,0.0,90.0,68.7,76.6,69.9,71.7
332,male,some college,standard,none,10.8,89.4,75.7,86.6,80.0,80.8
333,male,high school,standard,none,6.3,96.7,68.0,57.1,75.3,66.8
334,female,associate's degree,free/reduced,completed,11.3,80.6,77.0,100.0,78.2,85.1
335,male,high school,free/reduced,completed,10.9,82.3,76.4,76.3,79.6,77.4
336,female,some high school,standard,none,4.5,82.1,56.3,61.9,70.9,63.0
337,male,associate's degree,free/reduced,none,16.9,100.0,86.4,82.1,87.3,85.3
338,male,associate's degree,standard,none,14.3,94.1,82.3,99.4,72.8,84.8
339,male,high school,standard,none,13.4,75.3,77.1,78.0,78.8,78.0
340,female,associate's degree,free/reduced,none,5.3,81.2,69.3,63.2,75.9,69.5
341,female,some high school,free/reduced,completed,8.4,77.5,79.6,73.4,70.2,74.4
342,male,some college,free/reduced,completed,7.8,84.7,72.0,88.7,86.1,82.3
343,male,some college,standard,none,8.3,86.7,72.7,63.7,80.1,72.2
344,female,high school,standard,none,5.5,100.0,58.4,76.2,66.7,67.1
345,male,high school,free/reduced,none,11.7,66.3,51.3,65.4,81.3,66.0
346,female,associate's degree,standard,completed,10.9,94.9,71.3,100.0,81.7,84.3
347,male,some college,free/reduced,completed,11.5,89.0,93.6,78.9,73.9,82.1
348,male,high school,free/reduced,completed,8.0,77.6,60.0,85.7,72.7,72.8
349,female,associate's degree,standard,completed,15.2,83.1,93.5,84.4,96.3,91.4
350,male,some high school,free/reduced,completed,10.8,79.6,88.6,69.5,80.1,79.4
351,female,master's degree,standard,none,0.0,85.1,64.1,84.7,76.0,74.9
352,male,high school,free/reduced,none,7.4,94.7,81.6,76.4,80.0,79.3
353,male,high school,standard,completed,9.8,69.4,94.1,63.9,80.8,79.6
354,female,high school,standard,none,13.9,97.8,87.7,87.3,91.5,88.8
355,female,master's degree,standard,none,8.8,80.9,95.8,86.1,100.0,94.0
356,female,high school,standard,none,9.0,99.7,80.0,74.8,80.1,78.3
