student_id,gender,parental_education,lunch,test_prep_course,weekly_study_hours,attendance_percent,math_score,reading_score,writing_score,average_score,grade,result,z_score,performance_flag
57,female,master's degree,free/reduced,none,7.9,94.5,80.4,94.4,84.5,86.4,B,Pass,1.19,Average
58,female,some high school,free/reduced,none,11.6,86.9,80.5,65.4,76.8,74.2,C,Pass,-0.46,Average
59,male,high school,standard,completed,11.7,86.4,98.3,87.3,84.2,89.9,B,Pass,1.67,Top Performer
60,female,high school,standard,none,6.8,84.6,62.9,73.9,84.6,73.8,C,Pass,-0.52,Average
61,male,some college,free/reduced,none,7.6,93.0,78.2,70.9,68.2,72.4,C,Pass,-0.71,Average
62,male,some high school,standard,none,1.7,66.0,69.9,72.6,59.1,67.2,D,Fail,-1.41,Average
63,male,some college,free/reduced,completed,6.3,88.1,75.6,84.4,74.7,78.2,C,Pass,0.08,Average
64,male,high school,free/reduced,none,2.8,75.1,62.5,56.3,77.2,65.3,D,Fail,-1.67,Needs Support
65,female,high school,free/reduced,none,11.7,72.1,45.9,69.8,55.5,57.1,F,Fail,-2.78,Needs Support
66,male,bachelor's degree,free/reduced,none,10.2,84.5,69.1,76.9,75.4,73.8,C,Pass,-0.52,Average
67,male,high school,standard,completed,13.7,80.5,99.6,71.2,85.2,85.3,B,Pass,1.04,Average
68,male,associate's degree,free/reduced,none,11.4,90.2,60.4,82.5,74.0,72.3,C,Pass,-0.72,Average
69,female,some college,standard,none,7.5,95.4,69.6,78.6,95.8,81.3,B,Pass,0.5,Average
70,female,some college,standard,none,11.4,61.2,75.4,75.3,82.3,77.7,C,Pass,0.01,Average
71,female,bachelor's degree,standard,none,8.4,83.7,80.2,82.7,85.1,82.7,B,Pass,0.69,Average
72,male,high school,standard,completed,12.4,100.0,99.9,100.0,78.3,92.7,A,Pass,2.05,Top Performer
73,female,bachelor's degree,free/reduced,completed,11.3,93.1,70.0,88.1,92.1,83.4,B,Pass,0.78,Average
74,male,bachelor's degree,free/reduced,completed,6.0,98.9,79.6,80.1,79.9,79.9,C,Pass,0.31,Average
75,male,associate's degree,standard,completed,10.0,85.4,91.3,97.9,84.2,91.1,A,Pass,1.83,Top Performer
76,male,some high school,standard,none,10.2,70.1,60.2,65.5,69.1,64.9,D,Fail,-1.72,Needs Support
77,female,associate's degree,standard,none,8.8,73.2,72.9,72.3,72.3,72.5,C,Pass,-0.69,Average
78,female,associate's degree,standard,none,13.6,91.5,96.3,72.4,87.0,85.2,B,Pass,1.03,Average
79,female,associate's degree,free/reduced,none,16.9,94.0,91.8,91.3,93.7,92.3,A,Pass,1.99,Top Performer
80,male,high school,free/reduced,none,8.5,77.1,71.5,70.4,74.2,72.0,C,Pass,-0.76,Average
81,female,master's degree,free/reduced,none,8.6,81.7,51.8,81.6,79.0,70.8,C,Pass,-0.92,Average
82,male,bachelor's degree,free/reduced,none,1.0,87.0,62.9,71.4,54.2,62.8,D,Fail,-2.01,Needs Support
83,female,some high school,free/reduced,completed,9.5,66.9,76.6,74.3,84.4,78.4,C,Pass,0.11,Average
84,female,high school,standard,completed,8.3,80.9,76.9,76.1,91.2,81.4,B,Pass,0.51,Average
85,male,some high school,standard,none,1.4,100.0,65.0,64.6,67.3,65.6,D,Fail,-1.63,Needs Support
86,female,bachelor's degree,standard,completed,11.2,100.0,100.0,95.9,89.4,95.1,A,Pass,2.37,Top Performer
87,female,bachelor's degree,free/reduced,completed,12.4,83.3,82.2,87.3,92.1,87.2,B,Pass,1.3,Average
88,female,master's degree,standard,completed,7.1,100.0,78.0,100.0,86.1,88.0,B,Pass,1.41,Average
89,female,associate's degree,standard,none,8.5,79.2,75.8,71.7,83.1,76.9,C,Pass,-0.1,Average
90,female,associate's degree,standard,completed,6.1,76.3,76.3,79.0,75.9,77.1,C,Pass,-0.07,Average
91,male,associate's degree,standard,none,13.1,62.0,73.8,65.6,65.2,68.2,D,Fail,-1.28,Average
92,female,some college,free/reduced,none,3.9,94.0,65.1,84.5,73.0,74.2,C,Pass,-0.46,Average
93,male,master's degree,standard,none,8.7,80.7,82.9,68.2,65.6,72.2,C,Pass,-0.73,Average
94,male,associate's degree,standard,completed,17.8,100.0,97.1,98.2,91.2,95.5,A,Pass,2.43,Top Performer
95,male,high school,free/reduced,none,10.2,87.7,61.0,83.0,73.5,72.5,C,Pass,-0.69,Average
96,female,some college,free/reduced,none,11.9,86.3,72.3,75.6,65.8,71.2,C,Pass,-0.87,Average
97,female,some high school,standard,none,9.4,66.4,73.1,77.0,77.5,75.9,C,Pass,-0.23,Average
98,female,associate's degree,standard,none,5.3,99.4,69.6,63.4,75.2,69.4,D,Fail,-1.11,Average
99,female,associate's degree,standard,none,9.9,80.8,84.8,75.8,82.3,81.0,B,Pass,0.46,Average
100,female,some college,free/reduced,none,11.6,82.8,78.8,62.7,76.5,72.7,C,Pass,-0.67,Average
101,female,bachelor's degree,free/reduced,completed,5.9,62.4,65.7,79.2,76.0,73.6,C,Pass,-0.54,Average
102,male,associate's degree,standard,none,11.4,93.7,81.7,79.7,73.7,78.4,C,Pass,0.11,Average
103,female,high school,standard,none,15.0,94.3,96.7,76.0,67.9,80.2,B,Pass,0.35,Average
104,female,some high school,standard,completed,14.3,78.4,96.9,91.5,79.2,89.2,B,Pass,1.57,Top Performer
105,male,some high school,standard,none,3.7,85.4,65.4,71.8,61.4,66.2,D,Fail,-1.55,Needs Support
106,male,high school,standard,completed,6.1,88.4,85.3,75.5,91.8,84.2,B,Pass,0.89,Average
107,female,high school,standard,completed,3.5,94.1,70.8,78.4,90.8,80.0,B,Pass,0.32,Average
108,male,some college,standard,completed,14.3,85.5,76.3,73.7,74.6,74.9,C,Pass,-0.37,Average
109,female,bachelor's degree,standard,none,12.4,100.0,86.9,84.6,91.0,87.5,B,Pass,1.34,Average
110,male,high school,standard,none,12.8,82.0,78.6,91.9,74.8,81.8,B,Pass,0.57,Average
111,male,bachelor's degree,standard,completed,6.5,78.4,84.8,76.3,79.3,80.1,B,Pass,0.34,Average
112,male,associate's degree,standard,none,5.3,79.8,70.2,76.3,75.0,73.8,C,Pass,-0.52,Average
113,male,bachelor's degree,standard,completed,10.3,59.1,84.6,75.6,86.4,82.2,B,Pass,0.62,Average
114,female,some college,standard,none,10.4,76.4,70.2,83.2,71.9,75.1,C,Pass,-0.34,Average
115,male,some high school,standard,none,6.6,94.5,74.2,76.2,68.6,73.0,C,Pass,-0.63,Average
116,male,associate's degree,standard,completed,10.6,87.1,92.0,83.1,85.9,87.0,B,Pass,1.27,Average
117,female,high school,free/reduced,none,12.6,76.3,71.0,59.4,65.2,65.2,D,Fail,-1.68,Needs Support
118,female,some high school,standard,none,10.9,87.9,80.7,72.8,77.1,76.9,C,Pass,-0.1,Average
119,male,bachelor's degree,standard,completed,5.8,64.3,63.7,87.9,78.4,76.7,C,Pass,-0.12,Average
120,female,associate's degree,free/reduced,none,1.5,81.6,56.3,68.9,65.5,63.6,D,Fail,-1.9,Needs Support
121,male,high school,free/reduced,completed,9.0,89.7,89.1,83.5,71.8,81.5,B,Pass,0.53,Average
122,female,high school,free/reduced,none,10.7,91.4,85.7,71.9,76.9,78.2,C,Pass,0.08,Average
123,male,master's degree,free/reduced,none,9.0,76.7,74.4,59.3,79.3,71.0,C,Pass,-0.9,Average
124,female,high school,free/reduced,none,8.3,93.6,68.5,78.1,76.2,74.3,C,Pass,-0.45,Average
125,female,associate's degree,free/reduced,none,7.2,100.0,61.4,80.9,71.0,71.1,C,Pass,-0.88,Average
126,female,some high school,standard,none,12.9,80.2,78.1,71.8,80.9,76.9,C,Pass,-0.1,Average
127,female,bachelor's degree,free/reduced,completed,9.8,91.9,88.6,83.8,88.8,87.1,B,Pass,1.29,Average
128,male,some high school,standard,none,10.5,68.9,59.0,71.7,72.2,67.6,D,Fail,-1.36,Average
129,female,some college,standard,none,6.1,64.8,72.3,67.1,80.2,73.2,C,Pass,-0.6,Average
130,male,some high school,standard,none,7.5,90.6,74.8,75.2,63.7,71.2,C,Pass,-0.87,Average
131,male,some college,standard,none,10.7,84.9,79.4,74.3,73.0,75.6,C,Pass,-0.27,Average
132,male,bachelor's degree,standard,completed,6.0,86.5,72.3,64.8,79.1,72.1,C,Pass,-0.75,Average
133,male,some high school,free/reduced,none,5.0,78.6,66.6,63.9,56.9,62.5,D,Fail,-2.05,Needs Support
134,male,high school,free/reduced,none,8.7,81.5,56.0,64.6,82.6,67.7,D,Fail,-1.35,Average
135,female,associate's degree,free/reduced,completed,14.8,92.6,98.7,81.8,96.0,92.2,A,Pass,1.98,Top Performer
136,male,associate's degree,standard,none,10.8,100.0,80.5,83.8,65.4,76.6,C,Pass,-0.14,Average
137,male,high school,standard,none,15.8,82.3,70.7,73.2,78.0,74.0,C,Pass,-0.49,Average
138,female,associate's degree,free/reduced,completed,9.5,68.0,88.0,84.1,76.9,83.0,B,Pass,0.73,Average
139,female,some college,standard,none,8.8,97.2,84.9,89.1,88.0,87.3,B,Pass,1.31,Average
140,male,bachelor's degree,standard,completed,4.4,90.5,75.0,84.5,84.1,81.2,B,Pass,0.49,Average
141,male,high school,standard,none,7.7,91.3,90.0,61.9,70.9,74.3,C,Pass,-0.45,Average
142,female,associate's degree,standard,none,15.7,86.3,74.8,77.9,83.7,78.8,C,Pass,0.16,Average
143,male,associate's degree,standard,none,11.3,100.0,82.5,88.2,81.8,84.2,B,Pass,0.89,Average
144,male,associate's degree,standard,none,12.9,85.2,89.1,76.7,77.1,81.0,B,Pass,0.46,Average
145,male,some college,standard,none,12.8,89.6,60.8,71.9,74.5,69.1,D,Fail,-1.16,Average
146,female,associate's degree,free/reduced,none,10.0,65.9,77.5,71.8,71.1,73.5,C,Pass,-0.56,Average
147,male,associate's degree,standard,none,9.2,78.7,74.0,79.0,77.3,76.8,C,Pass,-0.11,Average
148,female,some college,free/reduced,none,10.5,77.6,70.4,76.0,64.8,70.4,C,Pass,-0.98,Average
149,female,some high school,standard,none,12.7,84.2,67.0,82.3,76.0,75.1,C,Pass,-0.34,Average
150,male,master's degree,free/reduced,none,11.8,88.0,79.9,71.8,75.7,75.8,C,Pass,-0.25,Average
151,female,associate's degree,free/reduced,none,12.0,77.0,64.4,74.0,71.8,70.1,C,Pass,-1.02,Average
152,female,high school,free/reduced,completed,10.6,100.0,73.1,82.8,90.6,82.2,B,Pass,0.62,Average
153,male,associate's degree,standard,none,6.9,73.8,67.7,72.5,61.6,67.3,D,Fail,-1.4,Average
154,female,high school,free/reduced,completed,9.0,80.0,66.2,62.8,77.5,68.8,D,Fail,-1.2,Average
155,female,some college,standard,none,6.2,86.9,83.9,74.8,69.6,76.1,C,Pass,-0.21,Average
156,female,bachelor's degree,standard,completed,14.0,72.0,77.4,77.5,93.2,82.7,B,Pass,0.69,Average
157,female,some college,standard,none,1.6,90.2,60.6,85.6,70.6,72.3,C,Pass,-0.72,Average
158,female,high school,standard,none,9.1,90.8,71.3,90.2,77.2,79.6,C,Pass,0.27,Average
159,male,high school,standard,none,19.5,81.6,84.0,92.4,79.6,85.3,B,Pass,1.04,Average
160,male,some high school,standard,completed,8.6,100.0,87.8,88.8,69.8,82.1,B,Pass,0.61,Average
161,female,high school,standard,none,5.5,85.3,75.5,70.6,77.1,74.4,C,Pass,-0.44,Average
162,male,high school,standard,none,9.9,87.3,71.8,82.2,67.0,73.7,C,Pass,-0.53,Average
163,female,high school,free/reduced,none,15.2,74.9,71.0,73.2,71.9,72.0,C,Pass,-0.76,Average
164,female,some high school,standard,completed,9.4,67.7,77.7,83.6,78.8,80.0,B,Pass,0.32,Average
165,male,some college,standard,none,12.5,78.2,83.4,68.4,79.7,77.2,C,Pass,-0.06,Average
166,female,high school,standard,none,10.4,81.3,79.4,71.9,81.2,77.5,C,Pass,-0.02,Average
167,male,associate's degree,standard,none,8.5,79.9,69.8,78.6,86.6,78.3,C,Pass,0.09,Average
168,male,bachelor's degree,standard,completed,22.6,92.2,84.0,100.0,95.2,93.1,A,Pass,2.1,Top Performer
169,male,high school,free/reduced,none,10.3,60.6,83.7,65.6,60.7,70.0,C,Pass,-1.03,Average
170,female,some college,standard,none,7.9,73.1,78.6,92.5,70.4,80.5,B,Pass,0.39,Average
171,female,some college,standard,none,8.0,66.2,72.3,95.0,77.7,81.7,B,Pass,0.55,Average
172,female,some high school,standard,none,11.5,97.9,79.1,69.4,90.1,79.5,C,Pass,0.26,Average
173,female,some high school,standard,none,11.6,78.8,69.5,75.2,76.9,73.9,C,Pass,-0.5,Average
174,female,bachelor's degree,free/reduced,completed,13.1,79.3,76.1,78.4,82.6,79.0,C,Pass,0.19,Average
175,male,some college,free/reduced,none,10.6,73.5,67.4,69.1,70.6,69.0,D,Fail,-1.17,Average
176,male,bachelor's degree,standard,none,4.3,93.5,70.7,72.6,77.2,73.5,C,Pass,-0.56,Average
177,female,some high school,standard,completed,12.1,80.4,77.4,82.7,84.0,81.4,B,Pass,0.51,Average
178,male,associate's degree,standard,completed,8.8,86.7,71.6,91.4,78.1,80.4,B,Pass,0.38,Average
179,male,bachelor's degree,standard,completed,8.9,64.1,78.7,87.7,61.7,76.0,C,Pass,-0.22,Average
180,male,bachelor's degree,free/reduced,none,4.1,96.2,73.3,76.1,68.5,72.6,C,Pass,-0.68,Average
181,female,some high school,free/reduced,none,7.7,88.4,62.8,72.0,78.8,71.2,C,Pass,-0.87,Average
182,male,some college,free/reduced,none,7.1,90.0,68.9,72.7,71.5,71.0,C,Pass,-0.9,Average
183,female,high school,free/reduced,none,9.9,96.9,55.0,77.5,58.8,63.8,D,Fail,-1.87,Needs Support
184,female,associate's degree,standard,completed,4.2,82.6,75.9,87.7,84.4,82.7,B,Pass,0.69,Average
185,female,some high school,standard,completed,10.2,82.8,79.7,82.7,69.4,77.3,C,Pass,-0.04,Average
186,male,high school,standard,completed,10.5,91.7,73.7,87.1,97.5,86.1,B,Pass,1.15,Average
187,female,bachelor's degree,free/reduced,none,5.5,88.8,55.4,66.0,77.2,66.2,D,Fail,-1.55,Needs Support
188,female,some college,standard,none,7.5,82.1,75.3,82.7,66.7,74.9,C,Pass,-0.37,Average
189,male,some college,standard,none,6.6,84.9,64.9,87.3,77.8,76.7,C,Pass,-0.12,Average
190,male,master's degree,free/reduced,none,13.6,79.5,81.8,79.0,70.0,76.9,C,Pass,-0.1,Average
191,male,high school,standard,none,0.0,91.7,60.6,58.5,72.2,63.8,D,Fail,-1.87,Needs Support
192,female,some high school,standard,none,8.6,93.9,77.6,87.6,75.9,80.4,B,Pass,0.38,Average
193,male,some college,standard,none,3.4,84.6,65.1,68.9,61.1,65.0,D,Fail,-1.71,Needs Support
194,male,high school,free/reduced,none,8.3,100.0,58.2,49.6,76.0,61.3,D,Fail,-2.21,Needs Support
195,female,some high school,standard,none,13.4,69.1,73.4,72.6,63.4,69.8,D,Fail,-1.06,Average
196,male,some college,standard,completed,7.5,82.2,77.3,85.4,90.6,84.4,B,Pass,0.92,Average
197,female,master's degree,standard,none,10.6,100.0,86.9,89.5,86.0,87.5,B,Pass,1.34,Average
198,male,some college,standard,none,6.6,80.3,67.1,82.3,63.2,70.9,C,Pass,-0.91,Average
199,female,associate's degree,standard,completed,17.8,68.5,87.3,93.1,75.4,85.3,B,Pass,1.04,Average
200,male,high school,free/reduced,completed,13.7,98.5,90.9,84.3,94.6,89.9,B,Pass,1.67,Top Performer
201,male,some college,standard,completed,14.5,90.0,98.2,71.0,96.8,88.7,B,Pass,1.5,Top Performer
202,female,associate's degree,free/reduced,completed,4.7,72.6,78.7,69.3,70.0,72.7,C,Pass,-0.67,Average
203,male,some college,standard,completed,5.6,92.3,87.7,83.2,93.8,88.2,B,Pass,1.44,Average
204,female,bachelor's degree,free/reduced,none,14.3,74.3,80.3,83.8,79.0,81.0,B,Pass,0.46,Average
205,female,some college,standard,completed,9.2,71.1,86.4,74.1,81.6,80.7,B,Pass,0.42,Average
206,male,high school,free/reduced,none,9.0,83.0,75.5,65.1,67.4,69.3,D,Fail,-1.13,Average
207,male,some college,free/reduced,none,11.3,79.7,75.1,75.8,68.2,73.0,C,Pass,-0.63,Average
208,female,some college,standard,completed,5.0,73.5,76.4,65.1,92.1,77.9,C,Pass,0.04,Average
209,male,high school,standard,none,13.1,80.9,77.9,59.7,74.2,70.6,C,Pass,-0.95,Average
210,female,associate's degree,standard,none,10.1,74.5,94.1,75.9,63.4,77.8,C,Pass,0.02,Average
211,female,bachelor's degree,standard,none,11.9,85.1,79.8,84.6,97.4,87.3,B,Pass,1.31,Average
212,male,some high school,standard,none,7.3,84.3,67.8,67.2,75.7,70.2,C,Pass,-1.01,Average
213,male,some college,free/reduced,completed,12.1,92.0,79.5,64.2,73.7,72.5,C,Pass,-0.69,Average
214,female,associate's degree,standard,completed,7.2,80.0,80.2,84.6,82.8,82.5,B,Pass,0.66,Average
215,male,some college,standard,none,13.8,71.2,79.2,64.3,66.3,69.9,D,Fail,-1.05,Average
216,female,high school,standard,none,14.5,71.3,67.8,82.1,76.3,75.4,C,Pass,-0.3,Average
217,female,some college,standard,completed,13.6,82.1,70.9,86.5,90.9,82.8,B,Pass,0.7,Average
218,male,some college,standard,completed,12.1,99.9,90.0,89.4,88.4,89.3,B,Pass,1.58,Top Performer
219,female,associate's degree,standard,none,12.5,93.0,67.5,88.4,77.7,77.9,C,Pass,0.04,Average
220,female,some college,standard,completed,0.0,78.1,73.2,74.1,73.6,73.6,C,Pass,-0.54,Average
221,female,some high school,standard,completed,13.3,94.0,86.9,93.5,93.5,91.3,A,Pass,1.86,Top Performer
222,female,bachelor's degree,standard,completed,8.9,72.9,91.8,95.1,85.7,90.9,A,Pass,1.8,Top Performer
223,female,bachelor's degree,free/reduced,completed,10.4,94.7,96.8,90.9,100.0,95.9,A,Pass,2.48,Top Performer
224,female,some high school,standard,completed,8.9,80.7,81.8,91.9,76.0,83.2,B,Pass,0.76,Average
225,female,high school,standard,none,4.4,92.2,64.5,70.5,80.5,71.8,C,Pass,-0.79,Average
226,male,high school,standard,completed,7.8,90.8,71.0,88.6,81.3,80.3,B,Pass,0.36,Average
227,male,bachelor's degree,standard,completed,12.6,81.7,81.6,88.6,80.6,83.6,B,Pass,0.81,Average
228,female,bachelor's degree,standard,none,15.7,87.8,84.5,77.6,94.6,85.6,B,Pass,1.08,Average
229,male,some high school,standard,none,7.5,73.8,51.8,68.2,68.0,62.7,D,Fail,-2.02,Needs Support
230,male,high school,standard,none,6.4,83.8,70.4,67.6,63.3,67.1,D,Fail,-1.43,Average
231,female,high school,free/reduced,none,15.8,95.4,77.8,75.4,75.9,76.4,C,Pass,-0.17,Average
232,female,some college,free/reduced,completed,6.5,100.0,82.7,84.5,92.0,86.4,B,Pass,1.19,Average
233,female,bachelor's degree,free/reduced,completed,18.3,91.6,89.0,100.0,83.0,90.7,A,Pass,1.77,Top Performer
234,female,some high school,standard,completed,10.2,85.4,81.9,80.7,94.0,85.5,B,Pass,1.07,Average
235,female,high school,standard,none,6.5,74.4,62.6,73.7,77.3,71.2,C,Pass,-0.87,Average
236,male,some college,standard,none,13.9,95.2,77.3,68.6,75.8,73.9,C,Pass,-0.5,Average
237,female,some college,standard,completed,16.8,67.9,73.9,87.0,96.9,85.9,B,Pass,1.12,Average
238,male,associate's degree,free/reduced,none,4.3,76.5,65.7,77.6,80.2,74.5,C,Pass,-0.42,Average
239,female,some college,standard,completed,16.2,88.1,100.0,96.7,95.0,97.2,A,Pass,2.66,Top Performer
240,female,some high school,standard,none,8.9,72.4,70.9,76.1,72.8,73.3,C,Pass,-0.59,Average
241,female,high school,free/reduced,none,15.9,100.0,81.7,76.7,93.1,83.8,B,Pass,0.84,Average
242,male,master's degree,standard,none,8.5,95.5,70.8,73.5,90.6,78.3,C,Pass,0.09,Average
243,female,associate's degree,standard,none,3.7,78.8,79.9,74.1,67.6,73.9,C,Pass,-0.5,Average
244,female,some high school,free/reduced,none,12.0,79.0,63.9,61.9,69.9,65.2,D,Fail,-1.68,Needs Support
245,male,bachelor's degree,standard,none,13.7,71.3,86.0,67.8,74.4,76.1,C,Pass,-0.21,Average
246,female,high school,standard,completed,18.4,70.5,89.9,93.7,83.6,89.1,B,Pass,1.56,Top Performer
247,female,associate's degree,standard,completed,16.9,89.0,84.9,85.0,81.4,83.8,B,Pass,0.84,Average
248,female,some high school,free/reduced,none,12.8,90.8,80.9,89.8,80.9,83.9,B,Pass,0.85,Average
249,male,bachelor's degree,standard,none,9.0,88.1,77.1,67.2,77.4,73.9,C,Pass,-0.5,Average
250,female,high school,standard,none,7.9,87.2,73.4,79.9,76.2,76.5,C,Pass,-0.15,Average
251,male,some college,free/reduced,completed,8.8,78.9,80.6,68.3,88.0,79.0,C,Pass,0.19,Average
252,male,associate's degree,free/reduced,none,6.7,88.2,69.0,73.9,66.6,69.8,D,Fail,-1.06,Average
253,male,some college,free/reduced,completed,8.9,69.8,72.6,67.4,75.2,71.7,C,Pass,-0.8,Average
254,male,high school,free/reduced,none,0.0,84.6,62.6,65.2,65.5,64.4,D,Fail,-1.79,Needs Support
255,female,some high school,standard,none,10.7,99.3,72.4,78.2,74.7,75.1,C,Pass,-0.34,Average
256,male,high school,standard,none,9.9,97.8,76.3,73.4,73.9,74.5,C,Pass,-0.42,Average
257,male,some high school,standard,completed,20.3,79.9,85.9,89.1,89.9,88.3,B,Pass,1.45,Average
258,male,high school,standard,none,13.0,81.2,64.8,87.1,73.0,75.0,C,Pass,-0.36,Average
259,male,some high school,free/reduced,completed,8.1,98.4,71.3,73.9,87.9,77.7,C,Pass,0.01,Average
260,male,some college,standard,none,12.3,100.0,75.9,87.3,72.3,78.5,C,Pass,0.12,Average
261,male,high school,standard,none,5.1,69.5,66.4,68.5,67.9,67.6,D,Fail,-1.36,Average
